,cntry,leto,essround,tvtot,rdtot,nwsptot,netuse
0,BE,2002,1,4.495996356697375,3.428155512646485,1.3616571791786725,2.7133437666979137
1,BE,2004,2,4.508207601903258,3.778003390485194,1.0685953719783228,3.1297544362246645
2,BE,2006,3,4.328774725995151,3.540211874393924,1.0920543108421088,3.746280552454741
3,BE,2008,4,4.382107160099422,3.3405078222214124,1.0753368932923641,4.333202730837233
4,BE,2010,5,4.306700689234528,3.3390844112820877,1.084543923240058,4.713766512482835
5,FI,2002,1,3.92741721708077,3.1530493387867065,1.7285152543684983,3.2771532659888667
6,FI,2004,2,3.9388606631254937,2.807750001449526,1.7661990214039964,3.837650486923756
7,FI,2006,3,3.915672323966636,2.826999681407132,1.804775498917769,4.524981496911027
8,FI,2008,4,3.742430023040029,2.6844399584454846,1.7487185507149634,4.902105366511469
9,FI,2010,5,3.7501621387459316,2.6993337984397856,1.6593916124203496,5.0977185975023485
10,HU,2002,1,4.39399154343642,3.7281299800493253,1.6128605646477576,1.6281709725116844
11,HU,2004,2,4.234248217894186,3.4048636268011974,1.5964731560694492,2.2249688676280663
12,HU,2006,3,4.201366000910105,3.1689657188382925,1.280710722765513,2.401554511599313
13,HU,2008,4,4.319715063414113,2.957982939674662,1.2717671739004421,3.270762221093018
14,HU,2010,5,4.237005602232368,2.999899602889387,1.197148694677698,3.83340498545889
15,IE,2002,1,5.744353383784208,5.0232319210620116,3.3868266150740087,2.941226606689412
16,IE,2004,2,4.907193369302659,4.674009049394518,2.661304939071298,3.2584164572063683
17,IE,2006,3,4.606174844858943,4.593953550068297,2.241120606686033,3.981465160504644
18,IE,2008,4,4.387986638665457,3.6569345226728376,1.5702593263294247,4.480660439509628
19,IE,2010,5,4.75465224219279,3.671339939043951,1.6900473173904278,5.054578565312749
20,NL,2002,1,4.629039974217393,3.4895532439780164,1.7438344087930264,3.7502102992428363
21,NL,2004,2,4.425399542386666,2.7895915932319397,1.6366890273419257,4.429998416869892
22,NL,2006,3,4.2089960537738165,2.855989823497588,1.5010414650637145,5.093005358209624
23,NL,2008,4,4.2784281016575205,3.100178564497821,1.5586132353131048,5.614137793092824
24,NL,2010,5,4.550200500462634,3.23150590654833,1.5191604877893936,5.929779303507059
25,NO,2002,1,4.010356028180479,2.6809360435806777,2.003374497757166,3.7027767099661837
26,NO,2004,2,4.048356971160188,3.027090844835824,1.8962409412184547,4.303695118689422
27,NO,2006,3,3.887163473184779,3.0162034373388686,1.88596502432486,4.851121896514606
28,NO,2008,4,3.937293408558928,2.959400970804169,1.897587775420421,5.3587856108036656
29,NO,2010,5,4.053758140006877,2.8196231850830284,2.0356791005136707,5.802157933379221
30,PL,2002,1,4.202528622074324,3.9209179407126347,1.2148945001705056,1.41557076418801
31,PL,2004,2,4.1636735643267295,3.8566930665857804,1.6077638170559807,1.7826666600351286
32,PL,2006,3,4.3050072009558225,4.142032866555581,1.6831085824286605,2.399233452150028
33,PL,2008,4,4.381924343251604,3.8705700131969025,1.668388722785159,3.6650260260410517
34,PL,2010,5,4.243396009454351,3.3559157626375917,1.569289654879992,4.375055779620426
35,PT,2002,1,4.125746501755748,3.132690712982242,1.075139807076247,1.6054502351228215
36,PT,2004,2,4.249292028519009,2.4789876735923984,1.212805135705395,1.7813771958547475
37,PT,2006,3,4.326498512315417,2.3936397087349377,1.2819155426118438,2.1196068930987786
38,PT,2008,4,4.433665525566805,2.9826091507734134,1.4641717020090983,2.89842737212673
39,PT,2010,5,4.764422494458536,3.560802337832946,1.0652798960730803,3.3115003306454
40,SI,2002,1,3.4839329335945624,3.521945754392439,1.9480539708327478,2.4051109253020764
41,SI,2004,2,3.6936533980314983,3.958771736558898,1.7120537031607281,3.153225590900837
42,SI,2006,3,3.859726611541438,3.761827578016718,1.4803133568825473,3.616528894262891
43,SI,2008,4,3.642493103488324,3.629971873864078,1.488887255682314,4.296133606657588
44,SI,2010,5,3.562026596491953,3.57960635674265,1.3487400057373764,4.424626571692116
45,ES,2002,1,4.73616469648578,2.856649877309484,1.3574520191413655,1.843968322031598
46,ES,2004,2,4.207496529891653,2.811161425268412,0.9743949334437975,2.6670643653811026
47,ES,2006,3,4.024521904593974,2.528395954635338,1.000353826401967,2.7740048169977807
48,ES,2008,4,4.064380474175218,2.368306696743305,0.9014230069320147,3.3723902402483135
49,ES,2010,5,4.035645974453165,2.3159318606369097,0.8157808438922771,4.141000256608463
50,SE,2002,1,3.757466995545708,2.6668419725612704,1.6891494611403202,4.092534802030359
51,SE,2004,2,3.70953683832917,2.707544311376497,1.7187182925115962,4.399351026414848
52,SE,2006,3,3.725127026673549,2.905535716018337,1.7462186290873674,5.037028046900568
53,SE,2008,4,3.6370620176992254,2.7399523907584924,1.7239417300259172,5.389926521967498
54,SE,2010,5,3.7054526711273037,2.5131878733049215,1.5791262363364396,5.764582567644753
55,CH,2002,1,3.198793538778551,2.8132365169648654,1.6945122956919572,3.7166794639893754
56,CH,2004,2,3.3321686865113493,3.5221947738454893,1.5951726508941255,3.9866291618341863
57,CH,2006,3,3.1920198972981475,3.1807501098214814,1.6190793755123252,4.609970248651611
58,CH,2008,4,3.402513724987159,3.195998850154071,1.5849154002722663,4.810448976277192
59,CH,2010,5,3.221513258809029,3.2480188877920733,1.5727376864192417,4.954259899298883
60,GB,2002,1,4.99679055260047,3.271988984215625,1.6065238611290298,2.9731557172499725
61,GB,2004,2,5.158381484864563,3.1356218680794075,1.7878329996295352,3.245686659096707
62,GB,2006,3,4.916939411527687,3.1834553821853375,1.5772026251726867,4.092933446604527
63,GB,2008,4,4.797562513428691,2.9629622665355377,1.5928343908498392,4.5388639888596805
64,GB,2010,5,5.004073872328872,2.737556765334194,1.2797770372613082,5.018790565144068
